0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,label
0.238591343,0.13037993,0.262123376,0,0.262123376,0,0.201147899,0.067049295,0.238591343,0.129952773,0.120324731,0.262123376,0,0.262123376,0,0.031523179,0.010507725,0.129952773,0.245243087,0.062622897,0.187868685,0,0.262123376,0,0.185857594,0.061952535,0.245243087,0.190686554,0.06053178,0.18159534,0,0.262123376,0,0.223160148,0.074386716,0.190686554,0.137375966,0.153724477,0.294466197,0,0.294466197,0,0,0,0.137375966,0.05150678,0.102060586,0.294466197,0,0.26722157,0,0,0,0.05150678,0.208280131,0.094981901,0.284945756,0,0.294466197,0,0.20269531,0.067565106,0.208280131,0.207078859,0.136997208,0.294466197,0,0.294466197,0,0.060548544,0.020182846,0.207078859,0.277423233,0.06213741,0.186412215,0,0.277423233,0,0.120621935,0.040207312,0.277423233,0.233144015,0.102214254,0.277423233,0,0.277423233,0,0.277423233,0.098040566,0.233144015,0.226730734,0.020153034,0.0604591,0,0.035812143,0,0.082193255,0.02739775,0.226730734,0.127054885,0.118423656,0.277423233,0,0.277423233,0,0.186791226,0.062263742,0.127054885,0.209371775,0.110964954,0.299980342,0,0.299980342,0,0.239336595,0.07977885,0.209371775,0.212976903,0.093955703,0.281867057,0,0.299980342,0,0.072068922,0.024022974,0.212976903,0.110315889,0.128471881,0.299980342,0,0.299980342,0,0.16224815,0.054082718,0.110315889,0.090256624,0.042181451,0.126544341,0,0.299980342,0,0.082117528,0.027372509,0.090256624,-1
0.090326302,9.72E-04,0.002915855,0,0.417220175,0,0.1643271,0.054775704,0.090326302,0.121100627,0.046708796,0.140126392,0,0.417220175,0,0.358068764,0.119356267,0.121100627,0.001767275,0.028275238,0.084825709,0,0.417220175,0,0.02698179,0.008993929,0.001767275,0.001374547,0.073124148,0.219372436,0,0.417220175,0,0.036565587,0.012188527,0.001374547,0.079939589,0.078066319,0.234198958,0,0.524801195,0,0.42291376,0.140971273,0.079939589,0,0.005119069,0.015357208,0,0.107907034,0,0,0,0,0,0.104198195,0.312594563,0,0.524801195,0,0.038076952,0.012692316,0,0,0.01122864,0.033685915,0,0.231004879,0,0,0,0,0,0.031073797,0.093221389,0,0.455320567,0,0.041960031,0.013986677,0,0,0.074127637,0.222382918,0,0.455320567,0,0.053948607,0.017982867,0,0.012154837,0.037507929,0.112523794,0,0.455320567,0,0.069787882,0.023262624,0.012154837,0.038208362,0.08324451,0.249733523,0,0.455320567,0,0.089727275,0.029909091,0.038208362,0,0.088588998,0.265767008,0,0.532301605,0,0.046042692,0.015347565,0,0,0.012575022,0.037725065,0,0.259232134,0,0,0,0,0.039950419,0.090834066,0.272502184,0,0.532301605,0,0.076578163,0.025526054,0.039950419,0,0.007560744,0.022682233,0,0.436924756,0,0,0,0,-1
0.070889756,0.080561601,0.241684809,0,0.356489331,0,0.238081902,0.079360642,0.070889756,0.149555862,0.061609522,0.184828565,0,0.356489331,0,0.173928291,0.057976101,0.149555862,0.016287614,0.096116118,0.288348347,0,0.356489331,0,0.067388542,0.022462847,0.016287614,0.108406678,0.106494769,0.319484293,0,0.356489331,0,0.047897477,0.015965823,0.108406678,0.19547911,0.073262751,0.219788253,0,0.344058782,0,0.152872816,0.050957605,0.19547911,0.145774722,0.162023932,0.344058782,0,0.344058782,0,0.207157806,0.069052599,0.145774722,0.167280942,0.07157661,0.21472986,0,0.344058782,0,0.069847554,0.02328252,0.167280942,0.081776172,0.01850627,0.055518806,0,0.344058782,0,0.074692808,0.024897601,0.081776172,0.013161578,0.068242759,0.204728276,0,0.406169891,0,0.030188126,0.010062708,0.013161578,0.081782959,0.112027504,0.336082578,0,0.406169891,0,0.034867011,0.011622337,0.081782959,0.016420456,0.049047861,0.147143587,0,0.406169891,0,0.059940122,0.019980039,0.016420456,0.013585257,0.075773954,0.227321848,0,0.406169891,0,0.242926568,0.080975533,0.013585257,0.133841336,0.103563644,0.31069088,0,0.482195139,0,0.04887493,0.016291643,0.133841336,0.046669759,0.014748269,0.044244807,0,0.355824351,0,0.024187613,0.008062539,0.046669759,0.023633128,0.086036175,0.258108556,0,0.482195139,0,0.293286413,0.097762138,0.023633128,0.010742331,0.009078598,0.027235795,0,0.28628391,0,0.039345551,0.013115183,0.010742331,-1
0.166891381,0.107779987,0.289311767,0,0.183373928,0,0.039358128,0.013119376,0.166891381,0.286761194,0.219106093,0.289311767,0,0.249845013,0,0,0,0.286761194,0.13878268,0.210040316,0.289311767,0,0.289311767,0,0.154821917,0.051607307,0.13878268,0.012424244,0.103191778,0.289311767,0,0.289311767,0,0,0,0.012424244,0.322695613,0.253912032,0.364980221,0,0.364980221,0,0,0,0.322695613,0.035683062,0.058026895,0.17408067,0,0.321183205,0,0,0,0.035683062,0.01575781,0.058795728,0.176387176,0,0.364980221,0,0,0,0.01575781,0.004402774,0.044654112,0.133962333,0,0.364980221,0,0,0,0.004402774,0.09959542,0.197394744,0.39574334,0,0.39574334,0,0.144401655,0.04813388,0.09959542,0.001645994,0.086297765,0.258893281,0,0.39574334,0,0,0,0.001645994,0.001645994,0.029839091,0.089517273,0,0.39574334,0,0,0,0.001645994,0,0.037448902,0.112346709,0,0.39574334,0,0.183838785,0.061279591,0,0,0.039175387,0.117526166,0,0.395755351,0,0.03898216,0.012994053,0,0,0.044034433,0.132103294,0,0.395755351,0,0.050119922,0.016706638,0,0,0.051931903,0.155795693,0,0.395755351,0,0.395755351,0.135395721,0,0,0.034335606,0.103006825,0,0.395755351,0,0.32942757,0.109809183,0,-1
0.189104602,0.095398612,0.286195844,0,0.053597726,0,0.337820143,0.203435764,0.189104602,0.127609387,0.209520444,0.337820143,0,0.303461373,0,0.021554109,0.007184703,0.127609387,0.046784014,0.040960696,0.122882098,0,0.337820143,0,0.221365288,0.073788427,0.046784014,0.018170796,0.095149241,0.285447717,0,0.337820143,0,0.027690379,0.009230126,0.018170796,0.102661513,0.267110884,0.42978245,0,0.42978245,0,0,0,0.102661513,0.017472843,0.023894839,0.071684517,0,0.192570001,0,0,0,0.017472843,0.002737851,0.134538144,0.403614402,0,0.42978245,0,0.05321968,0.01773989,0.002737851,0,0.023237877,0.06971363,0,0.346139997,0,0.024190763,0.008063587,0,0,0.031551663,0.094654985,0,0.385920525,0,0.102191888,0.034063961,0,0,0.050785758,0.152357265,0,0.385920525,0,0.088712476,0.029570829,0,0.007355987,0.11463549,0.343906432,0,0.385920525,0,0.050691895,0.0168973,0.007355987,0.050810397,0.062430307,0.187290922,0,0.385920525,0,0.385920525,0.143931299,0.050810397,0,0.073857531,0.221572608,0,0.459252089,0,0.14272894,0.047576316,0,0,0.016750438,0.050251309,0,0.37579155,0,0.038910884,0.012970299,0,0.067142561,0.070239834,0.210719511,0,0.459252089,0,0.459252089,0.217123196,0.067142561,0,8.95E-04,0.002685604,0,0.181207314,0,0.073674753,0.024558248,0,-1
0.095944226,0.024093397,0.072280198,0,0.277948678,0,0.064437151,0.021479052,0.095944226,0.134865627,0.163713053,0.369511515,0,0.369511515,0,0.058809295,0.019603098,0.134865627,0.111793369,0.020657189,0.061971568,0,0.369511515,0,0.244252533,0.081417508,0.111793369,0.145449847,0.118225217,0.354675621,0,0.369511515,0,0.052851748,0.017617246,0.145449847,0.126466036,0.21531868,0.422559321,0,0.422559321,0,0.075025275,0.025008427,0.126466036,0.014446725,0.01690997,0.050729915,0,0.090385325,0,0.017313525,0.005771175,0.014446725,0.132844806,0.166393414,0.422559321,0,0.422559321,0,0.034102403,0.011367468,0.132844806,0.072378494,0.036810763,0.110432282,0,0.317836672,0,0.007869785,0.002623261,0.072378494,0.061344769,0.029725196,0.089175582,0,0.359376639,0,0.185141698,0.061713893,0.061344769,0.121459663,0.075029425,0.225088283,0,0.359376639,0,0.095697947,0.031899318,0.121459663,0.094467223,0.125095993,0.359376639,0,0.359376639,0,0.012808205,0.004269402,0.094467223,0.193175033,0.089847803,0.269543439,0,0.359376639,0,0.115333736,0.038444579,0.193175033,0.16488421,0.119633451,0.358900398,0,0.458816111,0,0.122570217,0.040856741,0.16488421,0.08410994,0.027166072,0.081498213,0,0.330979943,0,0.013295596,0.004431865,0.08410994,0.243971318,0.076786257,0.230358779,0,0.458816111,0,0.190919429,0.063639812,0.243971318,0.029294576,0,0,0,0.113478914,0,0.019316278,0.00643876,0.029294576,-1
0.145150468,0.061262649,0.183787957,0,0.374783844,0,0.094994232,0.03166474,0.145150468,0.230521023,0.209921092,0.374783844,0,0.374783844,0,0.072089858,0.024029957,0.230521023,0.041349538,0.022367163,0.067101493,0,0.374783844,0,0.023089577,0.007696526,0.041349538,0.036612485,0.061024219,0.183072686,0,0.374783844,0,0.051381037,0.017127009,0.036612485,0.189509705,0.252325863,0.433722496,0,0.433722496,0,0.032244742,0.010748244,0.189509705,0,0.034812748,0.104438238,0,0.169449106,0,0,0,0,0.006592118,0.077913336,0.233739987,0,0.433722496,0,0.063878477,0.021292828,0.006592118,0,0.020937365,0.062812097,0,0.433722496,0,0.017636018,0.005878672,0,0.068512894,0.00962435,0.028873049,0,0.47688356,0,0,0,0.068512894,0.053287808,0.020363523,0.06109057,0,0.47688356,0,0.065995537,0.021998512,0.053287808,0.068512894,0,0,0,0.47688356,0,0,0,0.068512894,0.105664589,0,0,0,0.47688356,0,0.173973888,0.057991289,0.105664589,0,0.022301741,0.066905215,0,0.504879594,0,0.106387302,0.035462428,0,0,0.00585416,0.017562479,0,0.504879594,0,0.048357863,0.016119288,0,0.069099337,0,0,0,0.504879594,0,0.251152903,0.083717637,0.069099337,0.009274803,0,0,0,0.359737933,0,0.07086236,0.023620782,0.009274803,-1
0.254053056,0.052485082,0.157455236,0,0.321626633,0,0.311872691,0.103957556,0.254053056,0.158253223,0.191806182,0.321626633,0,0.321626633,0,0.245464072,0.081821352,0.158253223,0.015037373,0.028305275,0.084915824,0,0.170275107,0,0.01088281,0.003627603,0.015037373,0.004309939,0.162982419,0.321626633,0,0.321626633,0,0.007456401,0.002485467,0.004309939,0.203852743,0.231206805,0.316752642,0,0.316752642,0,0.203663841,0.06788794,0.203852743,0.230736598,0.126272082,0.316752642,0,0.03220088,0,0,0,0.230736598,0.018054936,0.195088953,0.316752642,0,0.316752642,0,0.006636631,0.00221221,0.018054936,0.106357478,0.087182,0.261545986,0,0.234159335,0,0,0,0.106357478,0.010084149,0.02701764,0.081052922,0,0.186087132,0,0.02222131,0.007407104,0.010084149,0.008728976,0.151022837,0.357170045,0,0.357170045,0,0.081966735,0.027322246,0.008728976,0.217615366,0.114609651,0.343828976,0,0.156062737,0,0.282022834,0.094007611,0.217615366,0.129537329,0.005755744,0.017267235,0,0.357170045,0,0.357170045,0.209582329,0.129537329,0.005632434,0.156676903,0.381185263,0,0.381185263,0,0.071138673,0.023712886,0.005632434,0.018848261,0.05224688,0.156740665,0,0.381185263,0,0.013232647,0.004410882,0.018848261,0.085161895,0.00723488,0.02170464,0,0.381185263,0,0.381185263,0.171338499,0.085161895,0.005632434,0.004410883,0.013232647,0,0.381185263,0,0.150318533,0.050106179,0.005632434,-1
0.126913488,0.020732185,0.062196553,0,0.333084762,0,0.333084762,0.152860641,0.126913488,0.120803088,0.136303157,0.333084762,0,0.333084762,0,0.110855803,0.036951933,0.120803088,0.024282834,0.014839725,0.044519175,0,0.333084762,0,0.294516265,0.098172091,0.024282834,0.009591914,0.103958145,0.311874419,0,0.333084762,0,0.067165427,0.022388477,0.009591914,0.166481152,0.23402907,0.329510629,0,0.329510629,0,0.183231175,0.061077051,0.166481152,0.319544673,0.176325217,0.329510629,0,0.169871539,0,0.072486348,0.024162119,0.319544673,0.004178635,0.154548675,0.329510629,0,0.329510629,0,0.090809599,0.030269863,0.004178635,0.012368856,0.012181253,0.03654376,0,0.068793535,0,0,0,0.012368856,0,0.028815668,0.086446993,0,0.376620442,0,0.161448658,0.053816218,0,0,0.135841906,0.376620442,0,0.376620442,0,0.027745742,0.009248579,0,0.007587588,0.097585388,0.29275617,0,0.376620442,0,0.016095705,0.005365234,0.007587588,0.015175176,0.117523789,0.352571368,0,0.376620442,0,0,0,0.015175176,0,0.203501955,0.435756058,0,0.435756058,0,0.040893041,0.013631013,0,0,0.016569866,0.049709599,0,0.15789111,0,0,0,0,0.03470869,0.168344602,0.435756058,0,0.435756058,0,0,0,0.03470869,0.021736301,0.018793771,0.056381315,0,0.366460532,0,0,0,0.021736301,-1
0.213901132,0.015538134,0.046614401,0,0.339091271,0,0.209780902,0.069926962,0.213901132,0.091643952,0.120501585,0.339091271,0,0.339091271,0,0.105380438,0.035126816,0.091643952,0.218923241,0.026162555,0.078487664,0,0.339091271,0,0.250989169,0.083663069,0.218923241,0.104676478,0.063738339,0.191215023,0,0.339091271,0,0.055106502,0.018368835,0.104676478,0.134550855,0.195636824,0.439386278,0,0.439386278,0,0.162580237,0.054193407,0.134550855,0.080833092,0.042453889,0.12736167,0,0.2932401,0,0.007029232,0.002343077,0.080833092,0.03953182,0.083185077,0.249555245,0,0.439386278,0,0.061166383,0.020388791,0.03953182,0.006998817,0.010065623,0.030196868,0,0.349628866,0,0,0,0.006998817,0.154606447,0.021242255,0.063726768,0,0.426251143,0,0.275438517,0.091812819,0.154606447,0.097346254,0.039759398,0.119278185,0,0.426251143,0,0.134531081,0.044843692,0.097346254,0.115602039,0.004701782,0.014105349,0,0.426251143,0,0.084711589,0.028237194,0.115602039,0.062348068,0,0,0,0.426251143,0,0.187488511,0.06249617,0.062348068,0.022977535,0.044043679,0.132131025,0,0.523022473,0,0.138271704,0.046090566,0.022977535,0,0.00338657,0.010159711,0,0.431704998,0,0,0,0,0,0,0,0,0.523022473,0,0.23212482,0.077374935,0,0,0,0,0,0.405220062,0,0.02401235,0.008004117,0,-1
